lad_code,date,claimant_count
E06000001,2018-01-01,3890
E06000002,2018-01-01,4135
E06000003,2018-01-01,2985
E06000004,2018-01-01,3915
E06000005,2018-01-01,2290
E06000006,2018-01-01,2755
E06000007,2018-01-01,2760
E06000008,2018-01-01,2815
E06000009,2018-01-01,4015
E06000010,2018-01-01,6300
E06000011,2018-01-01,3010
E06000012,2018-01-01,3310
E06000013,2018-01-01,2410
E06000014,2018-01-01,1400
E06000015,2018-01-01,2830
E06000016,2018-01-01,4045
E06000017,2018-01-01,135
E06000018,2018-01-01,7175
E06000019,2018-01-01,1170
E06000020,2018-01-01,1930
E06000021,2018-01-01,3990
E06000022,2018-01-01,1970
E06000023,2018-01-01,5165
E06000024,2018-01-01,1725
E06000025,2018-01-01,1510
E06000026,2018-01-01,3545
E06000027,2018-01-01,1730
E06000030,2018-01-01,2795
E06000031,2018-01-01,1850
E06000032,2018-01-01,2520
E06000033,2018-01-01,2730
E06000034,2018-01-01,1855
E06000035,2018-01-01,3345
E06000036,2018-01-01,580
E06000037,2018-01-01,630
E06000038,2018-01-01,1650
E06000039,2018-01-01,1225
E06000040,2018-01-01,675
E06000041,2018-01-01,525
E06000042,2018-01-01,2600
E06000043,2018-01-01,3200
E06000044,2018-01-01,2365
E06000045,2018-01-01,3845
E06000046,2018-01-01,1685
E06000047,2018-01-01,8860
E06000049,2018-01-01,3030
E06000050,2018-01-01,3360
E06000051,2018-01-01,2220
E06000052,2018-01-01,4555
E06000053,2018-01-01,5
E06000054,2018-01-01,3455
E06000055,2018-01-01,2710
E06000056,2018-01-01,1515
E06000057,2018-01-01,5010
E06000058,2018-01-01,3450
E06000059,2018-01-01,2010
E06000060,2018-01-01,2945
E06000061,2018-01-01,3580
E06000062,2018-01-01,3715
E06000063,2018-01-01,3640
E06000064,2018-01-01,1645
E06000065,2018-01-01,5285
E06000066,2018-01-01,6405
E07000008,2018-01-01,705
E07000009,2018-01-01,370
E07000010,2018-01-01,685
E07000011,2018-01-01,805
E07000012,2018-01-01,470
E07000032,2018-01-01,975
E07000033,2018-01-01,695
E07000034,2018-01-01,1310
E07000035,2018-01-01,280
E07000036,2018-01-01,1680
E07000037,2018-01-01,665
E07000038,2018-01-01,770
E07000039,2018-01-01,460
E07000040,2018-01-01,695
E07000041,2018-01-01,860
E07000042,2018-01-01,435
E07000043,2018-01-01,605
E07000044,2018-01-01,385
E07000045,2018-01-01,715
E07000046,2018-01-01,485
E07000047,2018-01-01,265
E07000061,2018-01-01,1200
E07000062,2018-01-01,2415
E07000063,2018-01-01,710
E07000064,2018-01-01,990
E07000065,2018-01-01,605
E07000066,2018-01-01,1915
E07000067,2018-01-01,1020
E07000068,2018-01-01,395
E07000069,2018-01-01,530
E07000070,2018-01-01,1160
E07000071,2018-01-01,1380
E07000072,2018-01-01,975
E07000073,2018-01-01,1200
E07000074,2018-01-01,385
E07000075,2018-01-01,425
E07000076,2018-01-01,2210
E07000077,2018-01-01,275
E07000078,2018-01-01,690
E07000079,2018-01-01,335
E07000080,2018-01-01,620
E07000081,2018-01-01,1240
E07000082,2018-01-01,580
E07000083,2018-01-01,430
E07000084,2018-01-01,1025
E07000085,2018-01-01,420
E07000086,2018-01-01,780
E07000087,2018-01-01,535
E07000088,2018-01-01,750
E07000089,2018-01-01,305
E07000090,2018-01-01,1195
E07000091,2018-01-01,835
E07000092,2018-01-01,560
E07000093,2018-01-01,500
E07000094,2018-01-01,475
E07000095,2018-01-01,785
E07000096,2018-01-01,1140
E07000098,2018-01-01,785
E07000099,2018-01-01,945
E07000102,2018-01-01,535
E07000103,2018-01-01,885
E07000105,2018-01-01,1320
E07000106,2018-01-01,1405
E07000107,2018-01-01,765
E07000108,2018-01-01,1985
E07000109,2018-01-01,1370
E07000110,2018-01-01,1260
E07000111,2018-01-01,530
E07000112,2018-01-01,1510
E07000113,2018-01-01,2010
E07000114,2018-01-01,3420
E07000115,2018-01-01,780
E07000116,2018-01-01,670
E07000117,2018-01-01,2340
E07000118,2018-01-01,1135
E07000119,2018-01-01,660
