feature,group
average_house_price_lag1q,house price / housing
average_house_price_lag2q,house price / housing
average_house_price_lag4q,house price / housing
average_house_price_lag8q,house price / housing
average_house_price_monthly_change_lag1q,house price / housing
average_house_price_monthly_change_lag2q,house price / housing
average_house_price_monthly_change_lag4q,house price / housing
average_house_price_monthly_change_lag8q,house price / housing
average_house_price_annual_change_lag1q,house price / housing
average_house_price_annual_change_lag8q,house price / housing
house_price_index_lag1q,house price / housing
house_price_index_lag2q,house price / housing
house_price_index_lag4q,house price / housing
house_price_index_lag8q,house price / housing
house_sales_volume_lag1q,house price / housing
house_sales_volume_lag2q,house price / housing
house_sales_volume_lag4q,house price / housing
house_sales_volume_lag8q,house price / housing
unemployment_count_lag1q,unemployment
unemployment_count_lag2q,unemployment
unemployment_count_lag4q,unemployment
unemployment_count_lag8q,unemployment
private_rental_price_index_lag1q,rent
private_rental_price_index_lag2q,rent
private_rental_price_index_lag4q,rent
private_rental_price_index_lag8q,rent
private_rental_price_monthly_change_lag1q,rent
private_rental_price_monthly_change_lag2q,rent
private_rental_price_monthly_change_lag4q,rent
average_private_rental_price_lag1q,rent
average_private_rental_price_lag2q,rent
average_private_rental_price_lag4q,rent
average_private_rental_price_lag8q,rent
gbp_index_lag1q,market / FX
gbp_index_lag2q,market / FX
gbp_index_lag4q,market / FX
gbp_index_lag8q,market / FX
ftse_100_lag1q,market / FX
ftse_100_lag2q,market / FX
ftse_100_lag4q,market / FX
ftse_100_lag8q,market / FX
income_lag1q,income / affordability
income_lag2q,income / affordability
income_lag4q,income / affordability
income_lag8q,income / affordability
uk_bank_rate_lag1q,interest rate
uk_bank_rate_lag2q,interest rate
uk_bank_rate_lag4q,interest rate
uk_bank_rate_lag8q,interest rate
brent_oil_price_lag1q,oil / energy proxy
brent_oil_price_lag2q,oil / energy proxy
brent_oil_price_lag4q,oil / energy proxy
brent_oil_price_lag8q,oil / energy proxy
population_lag4q,population / scale
internal_net_migration_lag1q,migration
internal_net_migration_lag2q,migration
internal_net_migration_lag4q,migration
internal_net_migration_lag8q,migration
international_net_migration_lag1q,migration
international_net_migration_lag2q,migration
international_net_migration_lag4q,migration
international_net_migration_lag8q,migration
cpi_00_all_items_lag1q,CPI total
cpi_00_all_items_lag2q,CPI total
cpi_00_all_items_lag4q,CPI total
cpi_00_all_items_lag8q,CPI total
house_price_to_income_lag1q,house price / housing
house_price_to_income_lag2q,house price / housing
house_price_to_income_lag4q,house price / housing
house_price_to_income_lag8q,house price / housing
